DATE,PRICE,VOL
2025-07-23,0.56,45983.92545
2025-07-24,0.4927,11282.62381
2025-07-25,0.487,28013.14724
2025-07-26,0.498,1982.84057
2025-07-27,0.4886,2970.5037
2025-07-28,0.4961,9198.45706
2025-07-29,0.4737,1170.32594
2025-07-30,0.4666,3590.2455
2025-07-31,0.4549,8141.15732
2025-08-01,0.4441,3235.97738
2025-08-02,0.4158,10069.60564
2025-08-03,0.4231,1194.59845
2025-08-04,0.4265,14538.11327
2025-08-05,0.4335,3706.37716
2025-08-06,0.4338,1038.42708
2025-08-07,0.4338,3359.15458
2025-08-08,0.4556,8552.02587
2025-08-09,0.468,5441.91956
2025-08-10,0.4573,7225.53477
2025-08-11,0.4704,5020.07756
2025-08-12,0.4692,9352.47963
2025-08-13,0.4658,15526.63555
2025-08-14,0.4532,7993.67514
2025-08-15,0.4439,2587.54549
2025-08-16,0.4442,833.6376
2025-08-17,0.4384,6964.07048
2025-08-18,0.4291,5221.00843
2025-08-19,0.4213,20722.96456
2025-08-20,0.433,12558.9284
2025-08-21,0.422,12807.40248
2025-08-22,0.4433,21497.04722
2025-08-23,0.4347,2782.14941
2025-08-24,0.4405,6287.57976
2025-08-25,0.4192,18457.06421
2025-08-26,0.4278,3456.06504
2025-08-27,0.426,13545.02903
2025-08-28,0.432,2478.77448
2025-08-29,0.4177,4731.93493
2025-08-30,0.4235,7623.96174
2025-08-31,0.4237,5134.6603
2025-09-01,0.4074,14594.84414
2025-09-02,0.4104,3892.79475
2025-09-03,0.4149,1880.5079
2025-09-04,0.4136,22298.21169
2025-09-05,0.4005,5265.51105
2025-09-06,0.397,5045.73298
2025-09-07,0.3972,1733.8158
2025-09-08,0.4018,9317.52729
2025-09-09,0.3948,30528.72061
2025-09-10,0.3998,5219.78638
2025-09-11,0.3969,5176.62935
2025-09-12,0.4128,19663.43399
2025-09-13,0.4196,3457.3809
2025-09-14,0.409,2915.86914
2025-09-15,0.4149,5447.96027
2025-09-16,0.4018,5149.41823
2025-09-17,0.4058,9940.96745
2025-09-18,0.4058,6654.55992
2025-09-19,0.3998,2026.55054
2025-09-20,0.4027,2551.7796
2025-09-21,0.3944,9099.7964
2025-09-22,0.3576,54246.58128
2025-09-23,0.3589,3594.89191
2025-09-24,0.3573,6312.79938
2025-09-25,0.3416,15127.8709
2025-09-26,0.3433,10369.01303
2025-09-27,0.3489,37.9472
2025-09-28,0.3525,6921.57528
2025-09-29,0.3465,27701.95089
2025-09-30,0.3348,7194.42601
2025-10-01,0.3465,3724.98038
2025-10-02,0.3565,4764.31404
2025-10-03,0.3547,39162.0869
2025-10-04,0.3385,14437.75036
2025-10-05,0.3431,8861.12882
2025-10-06,0.349,8979.51018
2025-10-07,0.3444,16300.42725
2025-10-08,0.3406,4120.80719
2025-10-09,0.3337,10854.19003
2025-10-10,0.3337,80446.19669
2025-10-11,0.2394,135543.3266
2025-10-12,0.2676,35057.61768
2025-10-13,0.2727,67821.72348
2025-10-14,0.2643,42756.33949
2025-10-15,0.2564,17884.67069
2025-10-16,0.2452,63527.63455
2025-10-17,0.2476,32152.69047
2025-10-18,0.2429,8450.88694
2025-10-19,0.251,30303.25695
2025-10-20,0.2514,21055.8088
2025-10-21,0.2575,50416.61134
2025-10-22,0.2356,32887.45329
2025-10-23,0.2462,14033.77322
2025-10-24,0.2518,3232.83787
2025-10-25,0.2527,3680.50646
2025-10-26,0.2574,7185.88323
2025-10-27,0.2607,29851.18572
2025-10-28,0.2423,17130.2388
2025-10-29,0.242,27228.59192
2025-10-30,0.226,81504.87249
2025-10-31,0.2339,12592.56461
2025-11-01,0.2363,5824.42612
2025-11-02,0.2353,6908.83055
2025-11-03,0.2227,43633.3094
2025-11-04,0.2143,35078.84277
2025-11-05,0.2167,20436.89598
2025-11-06,0.2233,44807.79428
2025-11-07,0.2437,10523.88494
2025-11-08,0.2529,50537.20538
2025-11-09,0.251,26344.58381
2025-11-10,0.254,10.0
2025-11-11,0.2353,13246.41789
2025-11-12,0.2406,7872.28328
2025-11-13,0.2195,48286.83942
2025-11-14,0.2109,47435.46944
2025-11-15,0.2117,15697.26934
2025-11-16,0.2135,609.06657
2025-11-17,0.2004,50444.85894
2025-11-18,0.2018,328.91212
2025-11-19,0.1971,21115.5644
2025-11-20,0.1998,6110.54728
2025-11-21,0.1796,46199.65557
2025-11-22,0.1796,19993.60269
2025-11-23,0.1838,18778.8012
2025-11-24,0.1782,2070.16754
2025-11-25,0.1806,39067.33692
2025-11-26,0.1745,115.42327
2025-11-27,0.1787,3250.39764
2025-11-28,0.173,834.5704
2025-11-29,0.1741,2858.52025
2025-11-30,0.1688,2106.46195
2025-12-01,0.1565,19371.09676
2025-12-02,0.1644,2685.62441
2025-12-03,0.1642,123.98273
2025-12-04,0.1625,10635.3445
2025-12-05,0.1606,483.37371
2025-12-06,0.1571,5627.11083
2025-12-07,0.156,2716.30249
2025-12-08,0.1552,4863.33622
2025-12-09,0.16,2068.70849
2025-12-10,0.1565,18091.50688
2025-12-11,0.1556,29821.35513
2025-12-12,0.1515,1663.40942
2025-12-13,0.1497,1852.71992
2025-12-14,0.1438,6693.16234
2025-12-15,0.1372,42218.21787
2025-12-16,0.1384,4285.64893
2025-12-17,0.1306,17764.90815
2025-12-18,0.1256,49224.63743
2025-12-19,0.136,12537.43005
2025-12-20,0.136,0.0
2025-12-21,0.1378,95907.75096
2025-12-22,0.1404,136.8081
2025-12-23,0.1397,25864.46181
2025-12-24,0.1373,16923.87757
2025-12-25,0.1301,3729.51248
2025-12-26,0.1322,2896.83563
2025-12-27,0.1348,23853.68725
2025-12-28,0.1394,7956.1399
2025-12-29,0.1322,1961.07846
2025-12-30,0.137,10759.33683
2025-12-31,0.1347,16835.92614
2026-01-01,0.1368,398.21067
2026-01-02,0.1474,24113.03946
2026-01-03,0.1477,623.20567
2026-01-04,0.1527,3681.72072
2026-01-05,0.15,5877.43276
2026-01-06,0.1527,4474.74494
2026-01-07,0.152,21577.45529
2026-01-08,0.1484,7210.39167
2026-01-09,0.1484,10110.92918
2026-01-10,0.1515,245.0622
2026-01-11,0.1466,3558.39889
2026-01-12,0.1452,923.09677
2026-01-13,0.1571,32182.37557
2026-01-14,0.1558,5333.5341
2026-01-15,0.1459,5597.4962
2026-01-16,0.1293,170353.45198
2026-01-17,0.1105,434133.87105
2026-01-18,0.1088,6107.1049
2026-01-19,0.0981,61568.73799
2026-01-20,0.0957,31619.23437
2026-01-21,0.0947,64088.93687
2026-01-22,0.0928,23099.97093
2026-01-23,0.0951,225970.81921
2026-01-24,0.096,44622.64333
2026-01-25,0.092,165011.24517
2026-01-26,0.0933,20101.47053
2026-01-27,0.0912,46847.95385
2026-01-28,0.0924,10748.00331
2026-01-29,0.0845,29151.93864
2026-01-30,0.0849,15891.7963
2026-01-31,0.0723,68331.51124
2026-02-01,0.0774,35039.53715
2026-02-02,0.0762,29009.96671
2026-02-03,0.0776,14746.92163
2026-02-04,0.08,9437.61901
2026-02-05,0.066,35208.58366
2026-02-06,0.0655,36312.00254
2026-02-07,0.0725,17671.00129
2026-02-08,0.0716,1182.30354
2026-02-09,0.0693,4045.34854
2026-02-10,0.0687,388.23222
2026-02-11,0.069,20490.38276
2026-02-12,0.0721,16235.62068
2026-02-13,0.0735,3605.35465
2026-02-14,0.076,19477.54774
2026-02-15,0.0749,3013.84553
2026-02-16,0.0720,3108.61099
2026-02-17,0.0729,13.25930
